ID,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Absenteeism time in hours
1.0,23.0,12.0,2.0,4.0,235.0,11.0,14.0,37.0,236629.0,93.0,0.0,3.0,1.0,0.0,0.0,1.0,88.0,172.0,3.0
1.0,14.0,12.0,3.0,2.0,235.0,11.0,14.0,37.0,236629.0,93.0,0.0,3.0,1.0,0.0,0.0,1.0,88.0,172.0,4.0
1.0,25.0,12.0,5.0,4.0,235.0,11.0,14.0,37.0,236629.0,93.0,0.0,3.0,1.0,0.0,0.0,1.0,88.0,172.0,2.0
1.0,23.0,8.0,5.0,1.0,253.80974055776417,11.0,14.0,37.0,205917.0,92.0,0.0,3.0,1.0,0.0,0.0,1.0,88.0,172.0,4.0
1.0,22.0,4.0,6.0,3.0,235.0,11.0,14.0,37.0,246288.0,91.0,0.0,3.0,1.0,0.0,0.0,1.0,88.0,172.0,8.0
1.0,25.0,11.0,5.0,4.0,235.0,11.0,14.0,37.0,284031.0,97.0,0.0,3.0,1.0,0.0,0.0,1.0,88.0,172.0,2.0
1.0,18.0,11.0,4.0,4.0,235.0,11.0,14.0,37.0,284031.0,97.0,0.0,3.0,1.0,0.0,0.0,1.0,88.0,172.0,1.0
1.0,1.0,5.0,2.0,3.0,235.0,11.0,14.0,37.0,246074.0,99.0,0.0,3.0,1.0,0.0,0.0,1.0,88.0,172.0,8.0
1.0,22.0,5.0,2.0,3.0,235.0,11.0,14.0,37.0,237656.0,99.0,0.0,3.0,1.0,0.0,0.0,1.0,88.0,172.0,8.0
1.0,22.0,3.0,2.0,2.0,235.0,11.0,14.0,37.0,244387.0,98.0,0.0,3.0,1.0,0.0,0.0,1.0,88.0,172.0,8.0
1.0,7.0,4.0,6.0,3.0,235.0,11.0,14.0,37.0,326452.0,96.0,0.0,3.0,1.0,0.0,0.0,1.0,88.0,172.0,3.0
1.0,13.0,6.0,3.0,1.0,235.0,11.0,14.0,37.0,253957.0,95.0,0.0,3.0,1.0,0.0,0.0,1.0,88.0,172.0,8.0
1.0,26.0,10.0,2.0,4.0,235.0,11.0,14.0,37.0,265017.0,88.0,0.0,3.0,1.0,0.0,0.0,1.0,88.0,172.0,4.0
1.0,13.0,6.0,6.0,3.0,235.0,11.0,14.0,37.0,255546.38658902948,94.0,0.0,3.0,1.0,0.0,0.0,1.0,88.0,172.0,16.0
1.0,19.0,8.0,5.0,1.0,235.0,11.0,14.0,37.0,265615.0,94.0,0.0,3.0,1.0,0.0,0.0,1.0,88.0,172.0,8.0
1.0,23.0,8.0,3.0,1.0,235.0,11.0,14.0,37.0,265615.0,94.0,0.0,3.0,1.0,0.0,0.0,1.0,88.0,172.0,1.0
1.0,13.0,1.0,3.0,2.0,235.0,11.0,14.0,37.0,330061.0,100.0,0.0,3.0,1.0,0.0,0.0,1.0,88.0,172.0,1.0
1.0,26.0,12.0,4.0,4.0,235.0,11.0,14.0,37.0,261306.0,97.0,0.0,3.0,1.0,0.0,0.0,1.0,88.0,172.0,8.0
1.0,23.0,8.0,3.0,1.0,235.0,11.0,14.0,37.0,249797.0,93.0,0.0,3.0,1.0,0.0,0.0,1.0,88.0,172.0,4.0
1.0,22.0,7.0,2.0,1.0,235.0,11.0,14.0,37.0,239554.0,97.0,0.0,3.0,1.0,0.0,0.0,1.0,88.0,172.0,8.0
1.0,21.0,3.0,5.0,2.0,235.0,11.0,14.0,37.0,244387.0,98.0,0.0,3.0,1.0,0.0,0.0,1.0,88.0,172.0,8.0
1.0,11.0,7.0,3.0,1.0,235.0,11.0,14.0,37.0,264604.0,93.0,0.0,3.0,1.0,0.0,0.0,1.0,88.0,172.0,4.0
2.0,0.0,6.0,2.0,3.0,235.0,29.0,12.0,48.0,275089.0,96.0,1.0,1.0,1.0,0.0,1.0,5.0,88.0,170.8678138867837,0.0
2.0,0.0,4.0,2.0,3.0,235.0,29.0,12.0,48.0,326452.0,96.0,1.0,1.0,1.0,0.0,1.0,5.0,88.0,171.61528630558973,0.0
2.0,28.0,8.0,6.0,1.0,235.0,29.0,12.0,48.0,205917.0,92.0,0.0,1.0,1.0,0.0,1.0,5.0,88.0,170.2038323402582,8.0
2.0,23.0,7.0,2.0,1.0,235.0,29.0,12.0,48.0,230290.0,92.0,0.0,1.0,1.0,0.0,1.0,5.0,88.0,169.1469802070254,1.0
2.0,18.0,8.0,5.0,1.0,235.0,29.0,12.0,48.0,205917.0,92.0,0.0,1.0,1.0,0.0,1.0,5.0,88.0,170.40854948104766,8.0
2.0,18.0,8.0,2.0,1.0,235.0,29.0,12.0,48.0,205917.0,92.0,0.0,1.0,1.0,0.0,1.0,5.0,88.0,170.3869648388624,8.0
3.0,28.0,10.0,4.0,4.0,179.0,51.0,18.0,38.0,284853.0,91.0,0.0,1.0,0.0,1.0,0.0,0.0,89.0,170.0,3.0
3.0,27.0,3.0,2.0,2.0,179.0,51.0,18.0,38.0,222196.0,99.0,0.0,1.0,0.0,1.0,0.0,0.0,89.0,170.0,2.0
3.0,13.0,4.0,4.0,3.0,179.0,51.0,18.0,38.0,326452.0,96.0,0.0,1.0,0.0,1.0,0.0,0.0,89.0,170.0,3.814814814814815
3.0,11.0,6.0,2.0,3.0,179.0,51.0,18.0,38.0,308752.110017192,94.0,0.0,1.0,0.0,1.0,0.0,0.0,89.0,170.0,8.0
3.0,12.0,5.0,3.0,3.0,179.0,51.0,18.0,38.0,293120.7514715331,92.0,0.0,1.0,0.0,1.0,0.0,0.0,89.0,170.0,1.0
3.0,27.0,2.0,5.0,2.0,179.0,51.0,18.0,38.0,264249.0,97.0,0.0,1.0,0.0,1.0,0.0,0.0,89.0,170.0,2.0
3.0,18.0,5.0,3.0,3.0,179.0,51.0,18.0,38.0,240590.24437688568,92.0,0.0,1.0,0.0,1.0,0.0,0.0,89.0,170.0,8.0
